ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,version,Size,Length,Contribution_ID,Date_Updated
58dccb958e047bd4f0a42945c220167b,annotation-notes.pdf,,application/pdf,media/annotation-notes.pdf,,,184279,,,
3ba96ad83ebdf377d76d62f339b2dd74,image.jpg,,image/jpeg,media/image.jpg,,,83538,,,
5662b0dbffc101d7f3c9471b927eec80,translated-texts.pdf,,application/pdf,media/translated-texts.pdf,,,233706,,,
flood_mp3,mc_sumbawa_flood.mp3,,audio/mpeg,media/mc_sumbawa_flood.mp3,,,6195408,387.186939,flood,
flood_wav,mc_sumbawa_flood.wav,,audio/x-wav,media/mc_sumbawa_flood.wav,,,34144472,387.12308390022673,flood,
flood_eaf,mc_sumbawa_flood.eaf,,application/eaf+xml,media/mc_sumbawa_flood.eaf,,,812774,,flood,
flood_xml,mc_sumbawa_flood.xml,,application/xml,media/mc_sumbawa_flood.xml,,,162547,,flood,
flood_tsv,mc_sumbawa_flood.tsv,,text/tab-separated-values,media/mc_sumbawa_flood.tsv,,,45319,,flood,
kerekkure_mp3,mc_sumbawa_kerekkure.mp3,,audio/mpeg,media/mc_sumbawa_kerekkure.mp3,,,19822131,1238.857143,kerekkure,
kerekkure_wav,mc_sumbawa_kerekkure.wav,,audio/x-wav,media/mc_sumbawa_kerekkure.wav,,,218526450,1238.8109977324264,kerekkure,
kerekkure_eaf,mc_sumbawa_kerekkure.eaf,,application/eaf+xml,media/mc_sumbawa_kerekkure.eaf,,,3018350,,kerekkure,
kerekkure_xml,mc_sumbawa_kerekkure.xml,,application/xml,media/mc_sumbawa_kerekkure.xml,,,609932,,kerekkure,
kerekkure_tsv,mc_sumbawa_kerekkure.tsv,,text/tab-separated-values,media/mc_sumbawa_kerekkure.tsv,,,193136,,kerekkure,
langlelo_mp3,mc_sumbawa_langlelo.mp3,,audio/mpeg,media/mc_sumbawa_langlelo.mp3,,,8007261,500.427755,langlelo,
langlelo_wav,mc_sumbawa_langlelo.wav,,audio/x-wav,media/mc_sumbawa_langlelo.wav,,,88268752,500.38802721088433,langlelo,
langlelo_eaf,mc_sumbawa_langlelo.eaf,,application/eaf+xml,media/mc_sumbawa_langlelo.eaf,,,920608,,langlelo,
langlelo_xml,mc_sumbawa_langlelo.xml,,application/xml,media/mc_sumbawa_langlelo.xml,,,189710,,langlelo,
langlelo_tsv,mc_sumbawa_langlelo.tsv,,text/tab-separated-values,media/mc_sumbawa_langlelo.tsv,,,57122,,langlelo,
menangis_mp3,mc_sumbawa_menangis.mp3,,audio/mpeg,media/mc_sumbawa_menangis.mp3,,,6175763,385.959184,menangis,
menangis_wav,mc_sumbawa_menangis.wav,,audio/x-wav,media/mc_sumbawa_menangis.wav,,,68077424,385.92501133786845,menangis,
menangis_eaf,mc_sumbawa_menangis.eaf,,application/eaf+xml,media/mc_sumbawa_menangis.eaf,,,671904,,menangis,
menangis_xml,mc_sumbawa_menangis.xml,,application/xml,media/mc_sumbawa_menangis.xml,,,137056,,menangis,
menangis_tsv,mc_sumbawa_menangis.tsv,,text/tab-separated-values,media/mc_sumbawa_menangis.tsv,,,41970,,menangis,
nuntut_mp3,mc_sumbawa_nuntut.mp3,,audio/mpeg,media/mc_sumbawa_nuntut.mp3,,,5218637,326.138776,nuntut,
nuntut_wav,mc_sumbawa_nuntut.wav,,audio/x-wav,media/mc_sumbawa_nuntut.wav,,,57522532,326.090022675737,nuntut,
nuntut_eaf,mc_sumbawa_nuntut.eaf,,application/eaf+xml,media/mc_sumbawa_nuntut.eaf,,,615029,,nuntut,
nuntut_xml,mc_sumbawa_nuntut.xml,,application/xml,media/mc_sumbawa_nuntut.xml,,,125631,,nuntut,
nuntut_tsv,mc_sumbawa_nuntut.tsv,,text/tab-separated-values,media/mc_sumbawa_nuntut.tsv,,,36128,,nuntut,
