corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sumbawa	flood	0001	#	#	#nc	#nc				
sumbawa	flood	0001	a	ITJ	nc	nc				
sumbawa	flood	0001	ba	ITJ	nc	nc				
sumbawa	flood	0001	tu=	1PL=	nc	nc				
sumbawa	flood	0001	samula	start	nc	nc				
sumbawa	flood	0001	mo	DM	nc	nc				
sumbawa	flood	0001	tutir	story	nc	nc				
sumbawa	flood	0001	=ta	=DEM_P	nc	nc				
sumbawa	flood	0001	%	%	%	%				
sumbawa	flood	0002	#	#	#nc	#nc				
sumbawa	flood	0002	ZERO	ZERO	nc	nc				
sumbawa	flood	0002	ka	PST	nc	nc				
sumbawa	flood	0002	mo	DM	nc	nc				
sumbawa	flood	0002	suda	ready	nc	nc				
sumbawa	flood	0002	%	%	%	%				
sumbawa	flood	0002	#	#	#nc	#nc				
sumbawa	flood	0002	ba	ITJ	nc	nc				
sumbawa	flood	0002	tu=	1PL=	nc	nc				
sumbawa	flood	0002	semula	start	nc	nc				
sumbawa	flood	0002	mo	DM	nc	nc				
sumbawa	flood	0002	tutir	story	nc	nc				
sumbawa	flood	0002	=ta	=DEM_P	nc	nc				
sumbawa	flood	0002	%	%	%	%				
sumbawa	flood	0003	#	#	#	#				
sumbawa	flood	0003	mara	like	adp	adp				
sumbawa	flood	0003	ling	words	np:other	np		other		
sumbawa	flood	0003	seketir	expression	rn	rn				
sumbawa	flood	0003	tau	person	rn	rn				
sumbawa	flood	0003	dunung	before	rn	rn				
sumbawa	flood	0003	kebo	buffalo	np:s	np		s		
sumbawa	flood	0003	guntir	?	v:pred	v		pred		
sumbawa	flood	0003	%	%	%	%				
sumbawa	flood	0003	#	#	#	#				
sumbawa	flood	0003	kebo	buffalo	np:s	np		s		
sumbawa	flood	0003	pèngè	twisted.neck	np:pred	np		pred		
sumbawa	flood	0003	%	%	%	%				
sumbawa	flood	0004	#	#	#nc	#nc				
sumbawa	flood	0004	aku	1SG	nc	nc				
sumbawa	flood	0004	tutir	tell.a.story	nc	nc				
sumbawa	flood	0004	%	%	%	%				
sumbawa	flood	0004	#	#	#nc	#nc				
sumbawa	flood	0004	nènè	2PL	nc	nc				
sumbawa	flood	0004	senèngè	listen	nc	nc				
sumbawa	flood	0004	%	%	%	%				
sumbawa	flood	0005	#	#	#	#				
sumbawa	flood	0005	simir	catfish	np.n:s	np	n	s	1002	new
sumbawa	flood	0005	mengkutir	jump	v:pred	v		pred		
sumbawa	flood	0005	#	#	#ac	#ac				
sumbawa	flood	0005	ZERO	ZERO	0.n:s	0	n	s	1002	
sumbawa	flood	0005	rèna	while	other	other				
sumbawa	flood	0005	nangè	swim	v:pred	v		pred		
sumbawa	flood	0005	%	%	%	%				
sumbawa	flood	0005	%	%	%	%				
sumbawa	flood	0006	#	#	#	#				
sumbawa	flood	0006	sama	same	ln	ln				
sumbawa	flood	0006	sebetir	one.drop	ln	ln				
sumbawa	flood	0006	tepong.dangè	a.kind.of.sweet	np:s	np		s	1003	new
sumbawa	flood	0006	masing-masing	each.other	other	other				
sumbawa	flood	0006	betanganè	take.care	v:pred	v		pred		
sumbawa	flood	0006	%	%	%	%				
sumbawa	flood	0007	#	#	#	#				
sumbawa	flood	0007	a	ITJ	other	other				
sumbawa	flood	0007	nya	3	pro:pred	pro		pred		
sumbawa	flood	0007	cara	way	np:s	np		s		
sumbawa	flood	0007	na	ITJ	other	other				
sumbawa	flood	0007	%	%	%	%				
sumbawa	flood	0008	#	#	#	#				
sumbawa	flood	0008	karing	then	other	other				
sumbawa	flood	0008	dèta	DEM_P	dem_pro:other	dem_pro		other		
sumbawa	flood	0008	nè	ITJ	other	other				
sumbawa	flood	0008	ada	exist	v:predex	v		predex		
sumbawa	flood	0008	mo	DM	rv	rv				
sumbawa	flood	0008	sópó	one	ln	ln				
sumbawa	flood	0008	tau	person	np.h:s	np	h	s	1004	new
sumbawa	flood	0008	dèta	DEM_P	dem_pro:other	dem_pro		other		
sumbawa	flood	0009	antara	between	adp	adp				
sumbawa	flood	0009	sópó	one	ln	ln				
sumbawa	flood	0009	keluarga	relatives	np.h:other	np	h	other	1005	new
sumbawa	flood	0009	pakir	really	rn	rn				
sumbawa	flood	0009	miskin	poor	rn	rn				
sumbawa	flood	0009	%	%	%	%				
sumbawa	flood	0010	#	#	#	#				
sumbawa	flood	0010	ZERO	ZERO	0.h:s	0	h	s	1005	
sumbawa	flood	0010	hingga	so.that	other	other				
sumbawa	flood	0010	nanta	ITJ	other	other				
sumbawa	flood	0010	tokal	sit.down	v:pred	v		pred		
sumbawa	flood	0010	barutang	run.into.debt	rv	rv				
sumbawa	flood	0010	baè	only	rv	rv				
sumbawa	flood	0010	si	DM	rv	rv				
sumbawa	flood	0011	mara	like	adp	adp				
sumbawa	flood	0011	ling	words	np:other	np		other		
sumbawa	flood	0011	basa	language	rn	rn				
sumbawa	flood	0011	tó	now	rn	rn				
sumbawa	flood	0011	buka	open	nc	nc				
sumbawa	flood	0011	lubang	hole	nc	nc				
