corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sumbawa	kerekkure	0001	#	#	#	#				
sumbawa	kerekkure	0001	pada	at	adp	adp				
sumbawa	kerekkure	0001	masa	time	np:other	np		other		
sumbawa	kerekkure	0001	dulu	before	rn	rn				
sumbawa	kerekkure	0002	nta	who.knows	ln	ln				
sumbawa	kerekkure	0002	berapa	how.many	ln	ln				
sumbawa	kerekkure	0002	ratus	hundred	ln	ln				
sumbawa	kerekkure	0002	taun	year	np:other	np		other		
sumbawa	kerekkure	0002	saman	time	rn	rn				
sumbawa	kerekkure	0002	dunung	before	rn	rn				
sumbawa	kerekkure	0002	=ana	=DEM_D	=rn_dem	=rn_dem				
sumbawa	kerekkure	0003	ada	exist	v:predex	v		predex		
sumbawa	kerekkure	0003	sópó	one	ln	ln				
sumbawa	kerekkure	0003	tau	person	np.h:s	np	h	s	2001	new
sumbawa	kerekkure	0003	#	#	#rc	#rc				
sumbawa	kerekkure	0003	ZERO	ZERO	f0.h:s	f0	h	s	2001	
sumbawa	kerekkure	0003	basingin	named	v:pred	v		pred		
sumbawa	kerekkure	0003	Lalu	prince	ln	ln				
sumbawa	kerekkure	0003	Kerèk-kurè	Kerek-kure	pn_np:other	pn_np		other		
sumbawa	kerekkure	0003	%	%	%	%				
sumbawa	kerekkure	0003	%	%	%	%				
sumbawa	kerekkure	0004	#	#	#	#				
sumbawa	kerekkure	0004	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0004	tedu	live	v:pred	v		pred		
sumbawa	kerekkure	0004	kè	with	adp	adp				
sumbawa	kerekkure	0004	ina	mother	np.h:obl	np	h	obl	2002	new
sumbawa	kerekkure	0004	pang	at	adp	adp				
sumbawa	kerekkure	0004	sópó	one	ln	ln				
sumbawa	kerekkure	0004	keban	garden	np:l	np		l	2003	new
sumbawa	kerekkure	0004	pang	at	rn	rn				
sumbawa	kerekkure	0004	Dadap	Dadap	rn_pn_np	rn_pn_np			2004	unused
sumbawa	kerekkure	0004	%	%	%	%				
sumbawa	kerekkure	0005	#	#	#	#				
sumbawa	kerekkure	0005	Dadap	Dadap	pn_np:s	pn_np		s	2004	
sumbawa	kerekkure	0005	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	kerekkure	0005	bakatokal	be.located	v:pred	v		pred		
sumbawa	kerekkure	0005	pang	at	adp	adp				
sumbawa	kerekkure	0005	Berangkorong	Berangkorong	pn_np:l	pn_np		l	2005	unused
sumbawa	kerekkure	0005	%	%	%	%				
sumbawa	kerekkure	0006	#	#	#	#				
sumbawa	kerekkure	0006	antara	between	adp	adp				
sumbawa	kerekkure	0006	Muir	Muir	pn_np:dt_s	pn_np		dt_s	2006	unused
sumbawa	kerekkure	0006	kè	and	rn	rn				
sumbawa	kerekkure	0006	Berangkorong	Berangkorong	rn_pn_np	rn_pn_np			2005	
sumbawa	kerekkure	0006	nya	3	pro:s	pro		s		
sumbawa	kerekkure	0006	pang	at	adp	adp				
sumbawa	kerekkure	0006	Dadap	Dadap	pn_np:pred	pn_np		pred	2004	
sumbawa	kerekkure	0006	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	kerekkure	0006	%	%	%	%				
sumbawa	kerekkure	0007	#	#	#	#				
sumbawa	kerekkure	0007	ada	exist	v:predex	v		predex		
sumbawa	kerekkure	0007	sópó	one	ln	ln				
sumbawa	kerekkure	0007	keban	garden	np:s	np		s	2003	
sumbawa	kerekkure	0007	#	#	#rc	#rc				
sumbawa	kerekkure	0007	ninan	there	dem_pro:l	dem_pro		l	2003	
sumbawa	kerekkure	0007	tanam	plant	v:pred	v		pred		
sumbawa	kerekkure	0007	ragan	k.o.flower	np:p	np		p	2007	new
sumbawa	kerekkure	0008	dua	two	np.h:dt_a	np	h	dt_a	2008	bridging
sumbawa	kerekkure	0008	tau	person	np.h:appos	np	h	appos	2001	
sumbawa	kerekkure	0008	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	kerekkure	0008	kè	with	rn_adp	rn_adp				
sumbawa	kerekkure	0008	ina	mother	rn_np.h	rn_np	h		2002	
sumbawa	kerekkure	0008	%	%	%	%				
sumbawa	kerekkure	0008	%	%	%	%				
sumbawa	kerekkure	0008	#	#	#	#				
sumbawa	kerekkure	0008	ka	PST	lv	lv				
sumbawa	kerekkure	0008	mo	DM	lv	lv				
sumbawa	kerekkure	0008	maté	die	v:pred	v		pred		
sumbawa	kerekkure	0008	bapa	father	np.h:s	np	h	s	2009	new
sumbawa	kerekkure	0008	%	%	%	%				
sumbawa	kerekkure	0009	#	#	#neg	#neg				
sumbawa	kerekkure	0009	tapi	but	other	other				
sumbawa	kerekkure	0009	ina	mother	np.h:dt	np	h	dt	2002	
sumbawa	kerekkure	0009	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	kerekkure	0009	nongka	NEG.PST	lv	lv				
sumbawa	kerekkure	0009	bada	tell	v:pred	v		pred		
sumbawa	kerekkure	0009	aku	1SG	pro.1:p	pro	1	p		
sumbawa	kerekkure	0009	ling	by	adp	adp				
sumbawa	kerekkure	0009	papin	grandfather	np.h:a_ling	np	h	a_ling		
sumbawa	kerekkure	0009	#	#	#cc	#cc				
sumbawa	kerekkure	0009	apa	what	np:pred	np		pred		
sumbawa	kerekkure	0009	singin	name	np:s	np		s		
sumbawa	kerekkure	0009	%	%	%	%				
sumbawa	kerekkure	0009	%	%	%	%				
sumbawa	kerekkure	0010	#	#	#	#				
sumbawa	kerekkure	0010	cuma	only	np:s	np		s		
sumbawa	kerekkure	0010	#	#	#rc	#rc				
sumbawa	kerekkure	0010	ZERO	ZERO	f0.h:p2	f0	h	p2		
sumbawa	kerekkure	0010	dè	REL	other	other				
sumbawa	kerekkure	0010	ka=bada	PST=tell	v:pred	v		pred		
sumbawa	kerekkure	0010	aku	1SG	pro.1:p	pro	1	p		
sumbawa	kerekkure	0010	ling	by	adp	adp				
sumbawa	kerekkure	0010	papin	grandfather	np.h:a_ling	np	h	a_ling		
sumbawa	kerekkure	0010	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	kerekkure	0010	%	%	%	%				
sumbawa	kerekkure	0010	#	#	#cc:pred	#cc		pred		
sumbawa	kerekkure	0010	anak	child	np.h:s	np	h	s	2001	
sumbawa	kerekkure	0010	basingin	named	v:pred	v		pred		
sumbawa	kerekkure	0010	Lalu	prince	ln	ln				
sumbawa	kerekkure	0010	Kerèk-kurè	Kerek-kure	pn_np.h:other	pn_np	h	other		
sumbawa	kerekkure	0010	%	%	%	%				
sumbawa	kerekkure	0010	%	%	%	%				
sumbawa	kerekkure	0011	#	#	#	#				
sumbawa	kerekkure	0011	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0011	tedu	live	v:pred	v		pred		
sumbawa	kerekkure	0011	pang	at	adp	adp				
sumbawa	kerekkure	0011	Dadap	Dadap	pn_np:l	pn_np		l	2004	
sumbawa	kerekkure	0011	%	%	%	%				
sumbawa	kerekkure	0011	#	#	#	#				
sumbawa	kerekkure	0011	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0011	bakeban	farm	v:pred	v		pred		
sumbawa	kerekkure	0011	%	%	%	%				
sumbawa	kerekkure	0011	#	#	#	#				
sumbawa	kerekkure	0011	ZERO	ZERO	0.h:a	0	h	a	2001	
sumbawa	kerekkure	0011	tanam	plant	v:pred	v		pred		
sumbawa	kerekkure	0011	ragan	k.o.flower	np:p	np		p	2007	
sumbawa	kerekkure	0011	%	%	%	%				
sumbawa	kerekkure	0012	#	#	#	#				
sumbawa	kerekkure	0012	#	#	#ac	#ac				
sumbawa	kerekkure	0012	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0012	tiba-tiba	unexpectedly	other	other				
sumbawa	kerekkure	0012	beru	after	other	other				
sumbawa	kerekkure	0012	laló	go	lv_v	lv_v				
sumbawa	kerekkure	0012	gita	look	v:pred	v		pred		
sumbawa	kerekkure	0012	kó	to	adp	adp				
sumbawa	kerekkure	0012	dalam	inside	np:g	np		g		
sumbawa	kerekkure	0012	keban	garden	rn_np	rn_np			2003	
sumbawa	kerekkure	0012	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	kerekkure	0012	%	%	%	%				
sumbawa	kerekkure	0013	ragan	k.o.flower	np:p	np		p	2007	
sumbawa	kerekkure	0013	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	kerekkure	0013	boè	finish	lv_v	lv_v				
sumbawa	kerekkure	0013	ka=bau	PST=get	v:pred	v		pred		
sumbawa	kerekkure	0013	ling	by	adp	adp				
sumbawa	kerekkure	0013	tau	person	np.h:a_ling	np	h	a_ling	2010	new
sumbawa	kerekkure	0013	kemang	flower	np:dt	np		dt	2007	
sumbawa	kerekkure	0013	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	kerekkure	0013	%	%	%	%				
sumbawa	kerekkure	0014	#	#	#	#				
sumbawa	kerekkure	0014	ZERO	ZERO	0:p	0		p	2007	
sumbawa	kerekkure	0014	boè	finish	lv_v	lv_v				
sumbawa	kerekkure	0014	ka=bau	PST=get	v:pred	v		pred		
sumbawa	kerekkure	0014	ling	by	adp	adp				
sumbawa	kerekkure	0014	tau	person	np.h:a_ling	np	h	a_ling	2010	
sumbawa	kerekkure	0014	%	%	%	%				
sumbawa	kerekkure	0015	#	#	#	#				
sumbawa	kerekkure	0015	sehingga	then	other	other				
sumbawa	kerekkure	0015	telu	three	ln	ln				
sumbawa	kerekkure	0015	ngano	day	np:s	np		s		
sumbawa	kerekkure	0015	baturit-turit	continue	v:pred	v		pred		
sumbawa	kerekkure	0015	%	%	%	%				
sumbawa	kerekkure	0016	#	#	#	#				
sumbawa	kerekkure	0016	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0016	laló	go	v:pred	v		pred		
sumbawa	kerekkure	0016	%	%	%	%				
sumbawa	kerekkure	0016	#	#	#	#				
sumbawa	kerekkure	0016	#	#	#ac	#ac				
sumbawa	kerekkure	0016	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0016	beru	after	other	other				
sumbawa	kerekkure	0016	tama	enter	v:pred	v		pred		
sumbawa	kerekkure	0016	kó	to	adp	adp				
sumbawa	kerekkure	0016	dalam	inside	np:g	np		g		
sumbawa	kerekkure	0016	keban	garden	rn_np	rn_np			2003	
sumbawa	kerekkure	0016	=ana	=DEM_D	=rn_dem	=rn_dem				
sumbawa	kerekkure	0016	%	%	%	%				
sumbawa	kerekkure	0017	ragan	k.o.flower	np:p	np		p	2007	
sumbawa	kerekkure	0017	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	kerekkure	0017	nan	DEM_M	rn_dem	rn_dem				
sumbawa	kerekkure	0017	boè	finish	lv_v	lv_v				
sumbawa	kerekkure	0017	ka=bau	PST=get	v:pred	v		pred		
sumbawa	kerekkure	0017	ling	by	adp	adp				
sumbawa	kerekkure	0017	tau	person	np.h:a_ling	np	h	a_ling	2010	
sumbawa	kerekkure	0017	%	%	%	%				
sumbawa	kerekkure	0018	#	#	#	#				
sumbawa	kerekkure	0018	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0018	nyaté	want	v:pred	v		pred		
sumbawa	kerekkure	0018	#	#	#cc	#cc				
sumbawa	kerekkure	0018	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0018	ya=laló	FUT=go	lv_v	lv_v				
sumbawa	kerekkure	0018	panin	harvest	v:pred	v		pred		
sumbawa	kerekkure	0018	%	%	%	%				
sumbawa	kerekkure	0018	%	%	%	%				
sumbawa	kerekkure	0018	#	#	#	#				
sumbawa	kerekkure	0018	ZERO	ZERO	0.h:a	0	h	a	2001	
sumbawa	kerekkure	0018	bawa	bring	v:pred	v		pred		
sumbawa	kerekkure	0018	mo	DM	rv	rv				
sumbawa	kerekkure	0018	pengisiq	container	np:p	np		p	2011	new
sumbawa	kerekkure	0018	%	%	%	%				
sumbawa	kerekkure	0018	#	#	#	#				
sumbawa	kerekkure	0018	ZERO	ZERO	0.h:s	0	h	s	2001	
sumbawa	kerekkure	0018	ya=laló	FUT=go	lv_v	lv_v				
sumbawa	kerekkure	0018	panin	harvest	v:pred	v		pred		
sumbawa	kerekkure	0018	%	%	%	%				
sumbawa	kerekkure	0019	#	#	#neg	#neg				
sumbawa	kerekkure	0019	sehingga	then	other	other				
sumbawa	kerekkure	0019	telungano	three.days	np:other	np		other		
