corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sumbawa	langlelo	0001	#	#	#nc	#nc				
sumbawa	langlelo	0001	ada	exist	nc	nc				
sumbawa	langlelo	0001	saman	time	nc	nc				
sumbawa	langlelo	0001	dunung	before	nc	nc				
sumbawa	langlelo	0001	ana	DEM_D	nc	nc				
sumbawa	langlelo	0001	%	%	%	%				
sumbawa	langlelo	0002	#	#	#	#				
sumbawa	langlelo	0002	ada	exist	v:predex	v		predex		
sumbawa	langlelo	0002	sópó	one	ln	ln				
sumbawa	langlelo	0002	keluarga	family	np.h:s	np	h	s	3001	new
sumbawa	langlelo	0002	dua	two	rn	rn				
sumbawa	langlelo	0002	anak	child	rn_np.h	rn_np	h		3002	new
sumbawa	langlelo	0002	%	%	%	%				
sumbawa	langlelo	0003	#	#	#	#				
sumbawa	langlelo	0003	soai	female	v:pred	v		pred		
sumbawa	langlelo	0003	se-kodeng	one-piece	np.h:s	np	h	s	3003	bridging
sumbawa	langlelo	0003	%	%	%	%				
sumbawa	langlelo	0003	#	#	#	#				
sumbawa	langlelo	0003	salaki	male	v:pred	v		pred		
sumbawa	langlelo	0003	se-kodeng	one-piece	np.h:s	np	h	s	3004	bridging
sumbawa	langlelo	0003	%	%	%	%				
sumbawa	langlelo	0004	#	#	#	#				
sumbawa	langlelo	0004	saruntung-ano	everyday	other	other				
sumbawa	langlelo	0004	tódé’	child	np.h:p	np	h	p	3002	
sumbawa	langlelo	0004	dua	two	rn	rn				
sumbawa	langlelo	0004	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	langlelo	0004	ya=	3=	=pro.h:a	=pro	h	a	3006	bridging
sumbawa	langlelo	0004	suru	order	v:pred	v		pred		
sumbawa	langlelo	0004	#	#	#cc	#cc				
sumbawa	langlelo	0004	ZERO	ZERO	f0.h:s	f0	h	s	3002	
sumbawa	langlelo	0004	bakedèk	play	v:pred	v		pred		
sumbawa	langlelo	0004	pang	at	adp	adp				
sumbawa	langlelo	0004	bao	above	np:l	np		l		
sumbawa	langlelo	0004	batu	stone	rn_np	rn_np			3005	new
sumbawa	langlelo	0004	nampar	flat	rn	rn				
sumbawa	langlelo	0004	%	%	%	%				
sumbawa	langlelo	0004	%	%	%	%				
sumbawa	langlelo	0005	#	#	#	#				
sumbawa	langlelo	0005	batu.nampar	flat.stone	np:s	np		s	3005	
sumbawa	langlelo	0005	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	langlelo	0005	basingin	be.named	v:pred	v		pred		
sumbawa	langlelo	0005	Batu-Langléló’	Langléló.Stone	pn_np:other	pn_np		other		
sumbawa	langlelo	0005	%	%	%	%				
sumbawa	langlelo	0006	#	#	#	#				
sumbawa	langlelo	0006	sópó	one	ln	ln				
sumbawa	langlelo	0006	waktu	time	np:other	np		other		
sumbawa	langlelo	0006	ina	mother	np.h:a	np	h	a	3006	
