corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sumbawa	menangis	0001	#	#	#nc	#nc				
sumbawa	menangis	0001	ada	exist	nc	nc				
sumbawa	menangis	0001	mo	DM	nc	nc				
sumbawa	menangis	0001	sópó	one	nc	nc				
sumbawa	menangis	0001	tutir	story	nc	nc				
sumbawa	menangis	0001	pang	at	nc	nc				
sumbawa	menangis	0001	saman	time	nc	nc				
sumbawa	menangis	0001	dunung	before	nc	nc				
sumbawa	menangis	0001	=ana	=DEM_D	nc	nc				
sumbawa	menangis	0001	%	%	%	%				
sumbawa	menangis	0002	#	#	#	#				
sumbawa	menangis	0002	ada	exist	v:predex	v		predex		
sumbawa	menangis	0002	mo	DM	other	other				
sumbawa	menangis	0002	sópó	one	ln	ln				
sumbawa	menangis	0002	kerajaan	kingdom	np:s	np		s	4001	new
sumbawa	menangis	0002	pang	at	adp	adp				
sumbawa	menangis	0002	tana	land	np:l	np		l		
sumbawa	menangis	0002	Samawa	Samawa	rn_pn_np	rn_pn_np			4026	unused
sumbawa	menangis	0002	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0002	sekitar	around	adp	adp				
sumbawa	menangis	0002	seribu-seratis	one.thousand.and.hundred	np:other	np		other		
sumbawa	menangis	0002	tin	year	rn	rn				
sumbawa	menangis	0002	#	#	#rc	#rc				
sumbawa	menangis	0002	adè	REL	other	other				
sumbawa	menangis	0002	ZERO	ZERO	f0:s	f0		s		
sumbawa	menangis	0002	ka	PST	lv	lv				
sumbawa	menangis	0002	mo	DM	lv	lv				
sumbawa	menangis	0002	laló	go	v:pred	v		pred		
sumbawa	menangis	0002	%	%	%	%				
sumbawa	menangis	0002	%	%	%	%				
sumbawa	menangis	0003	#	#	#	#				
sumbawa	menangis	0003	ZERO	ZERO	0.h:p	0	h	p	4031	bridging
sumbawa	menangis	0003	pang	at	adp	adp				
sumbawa	menangis	0003	kerajaan	kingdom	np:l	np		l	4001	
sumbawa	menangis	0003	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0003	ya=	3=	=pro_h_a	=pro_h_a			4002	new
sumbawa	menangis	0003	pinpin	govern	v:pred	v		pred		
sumbawa	menangis	0003	ling	by	adp	adp				
sumbawa	menangis	0003	sópó	one	ln	ln				
sumbawa	menangis	0003	raja	king	np.h:a_ling	np	h	a_ling	4002	
sumbawa	menangis	0003	%	%	%	%				
sumbawa	menangis	0004	#	#	#	#				
sumbawa	menangis	0004	raja	king	np.h:dt	np	h	dt	4002	
sumbawa	menangis	0004	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0004	ada	exist	v:predex	v		predex		
sumbawa	menangis	0004	sópó	one	ln	ln				
sumbawa	menangis	0004	anak	child	np.h:s	np	h	s	4003	new
sumbawa	menangis	0004	dadara	maiden	rn	rn				
sumbawa	menangis	0004	%	%	%	%				
sumbawa	menangis	0005	#	#	#	#				
sumbawa	menangis	0005	anak	child	np.h:s	np	h	s	4003	
sumbawa	menangis	0005	dadara	maiden	rn	rn				
sumbawa	menangis	0005	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0005	yanansi	that.is	other	other				
sumbawa	menangis	0005	sópó	one	ln	ln				
sumbawa	menangis	0005	lala	princess	np.h:pred	np	h	pred		
sumbawa	menangis	0005	#	#	#rc	#rc				
sumbawa	menangis	0005	ZERO	ZERO	f0.h:s	f0	h	s	4003	
sumbawa	menangis	0005	adè	REL	other	other				
sumbawa	menangis	0005	gera	beautiful	v:pred	v		pred		
sumbawa	menangis	0005	kè	and	rv	rv				
sumbawa	menangis	0005	balong.até	kind	rv	rv				
sumbawa	menangis	0005	%	%	%	%				
sumbawa	menangis	0005	%	%	%	%				
sumbawa	menangis	0006	#	#	#	#				
sumbawa	menangis	0006	#	#	#ac	#ac				
sumbawa	menangis	0006	tiba	arrive	v:pred	v		pred		
sumbawa	menangis	0006	sópó	one	ln	ln				
sumbawa	menangis	0006	saat	time	np:s	np		s		
sumbawa	menangis	0006	%	%	%	%				
sumbawa	menangis	0006	lala	princess	np.h:p	np	h	p	4003	
sumbawa	menangis	0006	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0006	ya=	3=	=pro_a	=pro_a			4004	new
sumbawa	menangis	0006	kena	hit	v:pred	v		pred		
sumbawa	menangis	0006	ling	by	adp	adp				
sumbawa	menangis	0006	sópó	one	ln	ln				
sumbawa	menangis	0006	penyakit	disease	np:a_ling	np		a_ling	4004	
sumbawa	menangis	0006	yanansi	that is	rn	rn				
sumbawa	menangis	0006	penyakit.berong	leprocy	rn	rn				
sumbawa	menangis	0006	singin	name	rn	rn				
sumbawa	menangis	0006	%	%	%	%				
sumbawa	menangis	0007	#	#	#	#				
sumbawa	menangis	0007	penyakit	disease	np:s	np		s	4004	
sumbawa	menangis	0007	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0007	makin	the.more	other	other				
sumbawa	menangis	0007	lè	late	other	other				
sumbawa	menangis	0007	makin	the.more	other	other				
sumbawa	menangis	0007	badadi	increase	v:pred	v		pred		
sumbawa	menangis	0007	%	%	%	%				
sumbawa	menangis	0008	#	#	#	#				
sumbawa	menangis	0008	dadi	then	other	other				
sumbawa	menangis	0008	lala	princess	np.h:dt	np	h	dt	4003	
sumbawa	menangis	0008	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0008	#	#	#ac	#ac				
sumbawa	menangis	0008	ling	because	other	other				
sumbawa	menangis	0008	to	know	v:pred	v		pred		
sumbawa	menangis	0008	ling	by	adp	adp				
sumbawa	menangis	0008	raja	king	np.h:a_ling	np	h	a_ling	4002	
sumbawa	menangis	0008	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	menangis	0008	#	#	#cc:p	#cc		p		
sumbawa	menangis	0008	anak	child	np.h:s	np	h	s	4003	
sumbawa	menangis	0008	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	menangis	0008	sakit	sick	v:pred	v		pred		
sumbawa	menangis	0008	%	%	%	%				
sumbawa	menangis	0008	%	%	%	%				
sumbawa	menangis	0009	ya=	3=	=pro.h:a	=pro	h	a	4002	
sumbawa	menangis	0009	utus	order	v:pred	v		pred		
sumbawa	menangis	0009	mo	DM	other	other				
sumbawa	menangis	0009	pengawa	vassal	np.h:p	np	h	p	4005	new
sumbawa	menangis	0009	#	#	#cc	#cc				
sumbawa	menangis	0009	ya=	3=	=pro.h:s	=pro	h	s	4005	
sumbawa	menangis	0009	umumkan	announce	v:pred	v		pred		
sumbawa	menangis	0009	lakó	to	adp	adp				
sumbawa	menangis	0009	rakyat	people	np.h:g	np	h	g	4031	
sumbawa	menangis	0009	%	%	%	%				
sumbawa	menangis	0009	%	%	%	%				
sumbawa	menangis	0010	#	#	#	#				
sumbawa	menangis	0010	isi	content	np:s_ds	np		s_ds		
sumbawa	menangis	0010	pengumuman	announcement	rn_np	rn_np			4006	bridging
sumbawa	menangis	0010	=nan	=DEM_M	=rn_dem	=rn_dem				
sumbawa	menangis	0010	ne	ITJ	other	other				
sumbawa	menangis	0010	#	#	#ds_cc:pred	#ds_cc		pred		
sumbawa	menangis	0010	sai-sai	whoever	np.h:dt_p	np	h	dt_p	4007	new
sumbawa	menangis	0010	#	#	#ds_rc	#ds_rc				
sumbawa	menangis	0010	adè	REL	other	other				
sumbawa	menangis	0010	ZERO	ZERO	f0.h:a	f0	h	a	4007	
sumbawa	menangis	0010	bau	can	lv_v	lv_v				
sumbawa	menangis	0010	saterang	cure	v:pred	v		pred		
sumbawa	menangis	0010	anak	child	np.h:p	np	h	p	4003	
sumbawa	menangis	0010	kaku	1SG.POSS	rn_pro.1:poss	rn_pro	1	poss	4002	
sumbawa	menangis	0010	%	%	%	%				
