corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	isnref
sumbawa	nuntut	0001	#	#	#nc	#nc				
sumbawa	nuntut	0001	tutir	story	nc	nc				
sumbawa	nuntut	0001	Lanangmaté	Lanangmaté	nc	nc				
sumbawa	nuntut	0001	%	%	%	%				
sumbawa	nuntut	0002	#	#	#	#				
sumbawa	nuntut	0002	Lanangmaté	Lanangmaté	pn_np.h:a	pn_np	h	a	5001	new
sumbawa	nuntut	0002	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	nuntut	0002	pina	make	v:pred	v		pred		
sumbawa	nuntut	0002	mo	DM	rv	rv				
sumbawa	nuntut	0002	bu	trap	np:p	np		p	5002	new
sumbawa	nuntut	0002	%	%	%	%				
sumbawa	nuntut	0003	#	#	#	#				
sumbawa	nuntut	0003	bu	trap	np:s	np		s	5002	
sumbawa	nuntut	0003	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	nuntut	0003	kènang	use	v:pred	v		pred		
sumbawa	nuntut	0003	bau	get	v:pred	v		pred		
sumbawa	nuntut	0003	simir	eel	np:p	np		p		
sumbawa	nuntut	0003	n-dalam	in-inside	np:l	np		l		
sumbawa	nuntut	0003	brang	river	rn	rn				
sumbawa	nuntut	0003	%	%	%	%				
sumbawa	nuntut	0004	#	#	#	#				
sumbawa	nuntut	0004	tapi	but	other	other				
sumbawa	nuntut	0004	Lanangmaté	Lanangmaté	pn_np.h:s	pn_np	h	s	5001	
sumbawa	nuntut	0004	=ta	=DEM_P	=rn_dem	=rn_dem				
sumbawa	nuntut	0004	lin	different	v:pred	v		pred		
sumbawa	nuntut	0004	kè	with	adp	adp				
sumbawa	nuntut	0004	tau	person	np.h:obl	np	h	obl		
sumbawa	nuntut	0004	lin	different	rn	rn				
sumbawa	nuntut	0004	%	%	%	%				
sumbawa	nuntut	0005	#	#	#	#				
sumbawa	nuntut	0005	nya	3	pro.h:a	pro	h	a	5001	
sumbawa	nuntut	0005	pasang	set	v:pred	v		pred		
sumbawa	nuntut	0005	bu	trap	np:p	np		p	5002	
sumbawa	nuntut	0005	pang	in	adp	adp				
sumbawa	nuntut	0005	tenga	middle	np:l	np		l		
sumbawa	nuntut	0005	rau	field	rn_np	rn_np			5003	new
sumbawa	nuntut	0005	%	%	%	%				
sumbawa	nuntut	0006	#	#	#	#				
sumbawa	nuntut	0006	ZERO	ZERO	0.h:a	0	h	a	5001	
