refind,label,description,class,notes
∅,,,,
1002,simir,catfish,anm,
1003,tepong.dange,a kind of sweet,mss,
1004,tau,main character of the story,hum,
1005,keluarga,poor relatives of 1004,hum,
1006,anak,children of 1004,hum,
1007,sekodeng,girl in 1006,hum,
1008,sekodeng,boy in 1006,hum,
1009,umir,age of 1008,abs,
1010,umir,age of 1007,abs,
1012,ina,"wife of 1004, mother of 1006",hum,
1013,gaji,wage,abs,
1014,tau,people coming to collect debt,hum,
1015,fz,the most heavy debt,abs,
1016,diri,person to whom 1004 owe 1015,hum,
1017,bale,house of 1004,loc,
1018,fz,other debts of 1004,abs,
1020,z,1004+1012,hum,
1021,z,object in the riddle of 1008,abs,
1022,jawaban,reply of 1008,abs,
1023,tegas,meaning of 1022,abs,
1024,utang,1015+1018,abs,
1025,pang,places of debts,loc,
1026,surat,letter to write,inm,
1027,tegas,meaning of the 1st part in 1022,abs,
1028,pade,alive rice plants,inm,
1029,pade,pulled rice plants,inm,
1030,brang,river,loc,
1031,orong,rice field,loc,
1032,desa,village where 1004 resides,loc,
1033,datang,flood,mss,
1034,tau,debt collector,hum,
2001,tau,Lalu Kerekkure,hum,
2002,ina,mother of 2001,hum,
2003,keban,garden of 2001,loc,
2004,Dadap,Dadap,loc,
2005,Berangkorong,Berangkorong region,loc,
2006,Muir,Muir,loc,
2007,ragan,ragan flowers,inm,
2008,dua,2001+2002,hum,
2009,bapa,father of 2001,hum,
2010,tau,someone taking 2007,hum,
2011,pengisiq,a container,inm,
2012,anar,ladder like a rainbow,inm,
2013,tau,seven fairies,hum,
2014,pègo,buckets of 2013,inm,
2015,kolam,a pond for 2013 to have shower,loc,
2016,singin,name of 2015,abs,
2020,ZERO,the youngst one in 2013,hum,
2021,lamong,clothes of 2020,inm,
2022,nya,poem cited by 2001,abs,
2023,soara,voice of 2001,abs,
2024,lamong,clothes of 2013,inm,
2025,kerètèk,wing of 2013,bdp,
2026,ZERO,six faires who fly away,hum,
2027,balé,house of 2001,loc,
2028,rempó,a bush,inm,
2029,upacara,wedding ceremony of 2001 and 2020,abs,
2030,anak,child of 2001 and 2020,hum,
2031,singin,name of 2030,abs,
2032,desa,a village,loc,
2033,gaba,unhulled rice,mss,
2034,pamongka,a rice cooker,inm,
2035,ai,water to cook 2033,mss,
2036,proces,process that 2033 become edible,abs,
2037,me,edible rice from 2033,mss,
2038,dua,2033+2039,mss,
2039,las,cooked hulled rice,mss,
2040,dapur,stove,inm,
2041,tu=,2001+2002+2020,hum,
2042,nya,2020's way of cooking,abs,
