ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Media_IDs,Position,Audio_Start,Audio_End,graid,add_orthography,Text_ID,refind,refindFK,isnref
flood_0001,mcsumbawa,a... ba tu samula mo tutir ta,#	a	ba	tu=	samula	mo	tutir	=ta	%,#	ITJ	ITJ	1PL=	start	DM	story	=DEM_P	%,a... we start this story.,en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,8840,12045,#nc	nc	nc	nc	nc	nc	nc	nc	%,,flood,∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅
flood_0002,mcsumbawa,"ka mo suda, ba tu semula mo tutir ta",#	ZERO	ka	mo	suda	%	#	ba	tu=	semula	mo	tutir	=ta	%,#	ZERO	PST	DM	ready	%	#	ITJ	1PL=	start	DM	story	=DEM_P	%,Are you ready? Then we will start this story.,en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,16850,20365,#nc	nc	nc	nc	nc	%	#nc	nc	nc	nc	nc	nc	nc	%,,flood,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
flood_0003,mcsumbawa,"mara ling seketir tau dunung, kebo guntir, kebo pèngè,",#	mara	ling	seketir	tau	dunung	kebo	guntir	%	#	kebo	pèngè	%,#	like	words	expression	person	before	buffalo	?	%	#	buffalo	twisted.neck	%,"As old people said, a buffalo is guntir and a buffalo has a twisted neck.",en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,20365,24810,#	adp	np:other	rn	rn	rn	np:s	v:pred	%	#	np:s	np:pred	%,,flood,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅
flood_0004,mcsumbawa,aku tutir nènè senèngè,#	aku	tutir	%	#	nènè	senèngè	%,#	1SG	tell.a.story	%	#	2PL	listen	%,"I will tell (a story), you will hear.",en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,24810,27246,#nc	nc	nc	%	#nc	nc	nc	%,,flood,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅
flood_0005,mcsumbawa,simir mengkutir rèna nangè,#	simir	mengkutir	#	ZERO	rèna	nangè	%	%,#	catfish	jump	#	ZERO	while	swim	%	%,A catfish jumps while it is swimming.,en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,27246,29665,#	np.n:s	v:pred	#ac	0.n:s	other	v:pred	%	%,,flood,∅	1002	∅	∅	1002	∅	∅	∅	∅,∅	1002	∅	∅	1002	∅	∅	∅	∅,∅	new	∅	∅	∅	∅	∅	∅	∅
flood_0006,mcsumbawa,sama sebetir tepong dangè masing-masing betangangè,#	sama	sebetir	tepong.dangè	masing-masing	betanganè	%,#	same	one.drop	a.kind.of.sweet	each.other	take.care	%,'Tepong dangè (a kind of sweet)' of the same small size are taking care of each other.,en,WORD_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,29665,33676,#	ln	ln	np:s	other	v:pred	%,,flood,∅	∅	∅	1003	∅	∅	∅,∅	∅	∅	1003	∅	∅	∅,∅	∅	∅	new	∅	∅	∅
flood_0007,mcsumbawa,a nya cara na,#	a	nya	cara	na	%,#	ITJ	3	way	ITJ	%,This is the way (to start the story).,en,MORPHEME_ALIGNED,nya 'it' refers to the fixed expression of the previous several sentences to start the story,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,33676,35360,#	other	pro:pred	np:s	other	%,,flood,∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅
flood_0008,mcsumbawa,karing dèta nè ada sópó tau dèta,#	karing	dèta	nè	ada	mo	sópó	tau	dèta,#	then	DEM_P	ITJ	exist	DM	one	person	DEM_P,"Then there was a person there,",en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,35360,39551,#	other	dem_pro:other	other	v:predex	rv	ln	np.h:s	dem_pro:other,,flood,∅	∅	∅	∅	∅	∅	∅	1004	∅,∅	∅	∅	∅	∅	∅	∅	1004	∅,∅	∅	∅	∅	∅	∅	∅	new	∅
flood_0009,mcsumbawa,antara sópó keluarga pakir miskin,antara	sópó	keluarga	pakir	miskin	%,between	one	relatives	really	poor	%,in a very poor family.,en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,39551,43566,adp	ln	np.h:other	rn	rn	%,,flood,∅	∅	1005	∅	∅	∅,∅	∅	1005	∅	∅	∅,∅	∅	new	∅	∅	∅
flood_0010,mcsumbawa,hingga nanta tokal barutang baè si,#	ZERO	hingga	nanta	tokal	barutang	baè	si,#	ZERO	so.that	ITJ	sit.down	run.into.debt	only	DM,Then they were just running into the debt.,en,MORPHEME_ALIGNED,,flood_mp3 flood_wav flood_eaf flood_xml flood_tsv,,43566,46355,#	0.h:s	other	other	v:pred	rv	rv	rv,,flood,∅	1005	∅	∅	∅	∅	∅	∅,∅	1005	∅	∅	∅	∅	∅	∅,∅	∅	∅	∅	∅	∅	∅	∅
